H2 Gas
Date, Shift, Tech No., Date/Time Encoded,Temperature (Requirement : below 50 °C), Pressure (Ordering Level = 3.75 MPa or 500 psi Critical Level = 1.5 MPa or 200 psi), Primary Pressure gauge BH2 (Requirement 95 to 100 psi), Primary Pressure gauge Pallet (Requirement 95 to 100 psi), Secondary Pressure gauge BH2 (Requirement 60 to 65 psi), Secondary Pressure gauge Pallet (Requirement 60 to 65 psi), Nitrogen (Pressure Setting : 50 psi), Nitrogen cylinder pressure reading (Requirement : Alarm Level = 500 psi Critical Level = 200 psi), TIME, Remarks
1-Aug-2023,"GRAVE 2",5249,"1-Aug-2023 04:18:56",26,18.90,130,0,65,0,0,0,"2:15 AM",N/A
1-Aug-2023,"DAY 1",5249,"1-Aug-2023 07:06:19",25,18.50,130,0,65,0,0,0,6:30AM,N/A
1-Aug-2023,"DAY 2",7611,"1-Aug-2023 11:01:56",26,18.20,160,0,65,0,0,0,"10:45 AM",N/A
1-Aug-2023,"SWG 1",10355,"1-Aug-2023 02:58:25",26,18.10,160,0,65,0,0,0,2:15pm,N/A
1-Aug-2023,"SWG 2",10373,"1-Aug-2023 07:03:45",27,17.90,130,0,65,0,0,0,6:10pm,N/A
1-Aug-2023,"GRAVE 1",10373,"1-Aug-2023 11:37:19",26,17.90,130,0,65,0,0,0,10:16pm,N/A
2-Aug-2023,"GRAVE 2",10373,"2-Aug-2023 04:03:05",25,17.20,130,0,65,0,0,0,"2:15 AM",N/A
2-Aug-2023,"DAY 1",10303,"2-Aug-2023 06:39:05",25,17.10,130,0,65,0,0,0,6:14am,N/A
2-Aug-2023,"DAY 2",10361,"2-Aug-2023 10:16:57",26,16:90,130,0,65,0,0,0,"10:19 AM",N/A
2-Aug-2023,"SWG 1",10373,"2-Aug-2023 02:50:47",26,16.50,130,0,65,0,0,0,2:15pm,N/A
2-Aug-2023,"SWG 2",10373,"2-Aug-2023 07:39:43",26,16.10,135,0,65,0,0,0,6:15pm,N/A
2-Aug-2023,"GRAVE 1",10715,"2-Aug-2023 11:03:32",25,16.10,140,0,65,0,0,0,10:16pm,N/A
3-Aug-2023,"GRAVE 2",10715,"3-Aug-2023 03:13:34",24,16,135,0,65,0,0,0,2:23am,N/A
3-Aug-2023,"DAY 1",10303,"3-Aug-2023 06:52:36",24,15.9,140,0,65,0,0,0,6:20AM,N/A
3-Aug-2023,"DAY 2",10303,"3-Aug-2023 01:18:30",29,15.90,140,0,65,0,0,0,"10:45 AM",N/A
3-Aug-2023,"SWG 1",10355,"3-Aug-2023 05:14:12",28,15.80,140,0,65,0,0,0,2:20pm,N/A
3-Aug-2023,"SWG 2",10373,"3-Aug-2023 06:43:34",28,15.70,140,0,65,0,0,0,6:15pm,N/A
3-Aug-2023,"GRAVE 1",10373,"3-Aug-2023 11:12:52",15.50,28,140,0,65,0,0,0,10:16pm,N/A
4-Aug-2023,"GRAVE 2",10373,"4-Aug-2023 03:58:46",26,15.30,140,0,65,0,0,0,2:15am,N/A
4-Aug-2023,"DAY 1",10854,"4-Aug-2023 07:45:59",26,15.20,140,0,65,0,0,0,6:15AM,N/A
4-Aug-2023,"DAY 2",10854,"4-Aug-2023 10:57:38",26,15.20,140,0,65,0,0,0,10:30AM,N/A
4-Aug-2023,"SWG 1",10355,"4-Aug-2023 04:25:56",31,15.10,140,0,65,0,0,0,2:20pm,N/A
