M1 - once per shift only
Date, Shift, Tech No., Date/Time Encoded, Meter Reading (kw.hr), Remarks
1-Aug-2023,"DAY 1",5249,"1-Aug-2023 07:19:42",5069,N/A
1-Aug-2023,"SWG 1",10355,"1-Aug-2023 03:08:30",5069,N/A
1-Aug-2023,"GRAVE 1",10373,"1-Aug-2023 11:52:46",5069,N/A
2-Aug-2023,"DAY 1",10303,"2-Aug-2023 07:00:20",5069,N/A
2-Aug-2023,"SWG 1",10373,"2-Aug-2023 02:45:25",5069,N/A
2-Aug-2023,"GRAVE 1",10715,"2-Aug-2023 11:27:57",5069,N/A
3-Aug-2023,"DAY 1",10303,"3-Aug-2023 07:10:00",5069,N/A
3-Aug-2023,"SWG 1",10355,"3-Aug-2023 05:22:39",5069,N/A
3-Aug-2023,"GRAVE 1",10373,"3-Aug-2023 10:57:44",5069,N/A
4-Aug-2023,"DAY 1",10854,"4-Aug-2023 07:56:47",5069,N/A
4-Aug-2023,"SWG 1",10355,"4-Aug-2023 04:34:33",5071,N/A
4-Aug-2023,"GRAVE 1",10715,"5-Aug-2023 01:22:42",5071,N/A
5-Aug-2023,"DAY 1",10373,"5-Aug-2023 07:06:13",5072,N/A
5-Aug-2023,"SWG 1",10373,"5-Aug-2023 03:03:06",5072,N/A
5-Aug-2023,"GRAVE 1",10715,"5-Aug-2023 11:33:27",5072,N/A
6-Aug-2023,"DAY 1",7611,"6-Aug-2023 02:10:36",5072,N/A
6-Aug-2023,"SWG 1",7611,"6-Aug-2023 03:11:44",5072,N/A
6-Aug-2023,"GRAVE 1",10715,"7-Aug-2023 05:22:32",5072,N/A
7-Aug-2023,"DAY 1",7611,"7-Aug-2023 10:59:12",5072,N/A
7-Aug-2023,"SWG 1",10373,"7-Aug-2023 03:31:51",5072,N/A
7-Aug-2023,"GRAVE 1",10715,"7-Aug-2023 11:50:10",5072,N/A
8-Aug-2023,"DAY 1",10786,"8-Aug-2023 08:16:54",5072,N/A
