DE-IONIZED WATER
Date, Shift, Tech No., Date/Time Encoded, DI water (gallons), DI Flow (gpm), Resistivity - Bdg 1 (M ohm), Resistivity - Bdg 2 (M ohm), TIME, Remarks
1-Aug-2023,"DAY 1",5249,"1-Aug-2023 07:23:49",3251706,0,16.5,19.4,6:30AM,N/A
1-Aug-2023,"SWG 1",10355,"1-Aug-2023 03:02:12",3253960,0,16.5,19.6,2:40pm,N/A
1-Aug-2023,"GRAVE 1",10373,"1-Aug-2023 11:54:56",3256832,0,16.8,14.4,10:36pm,N/A
2-Aug-2023,"DAY 1",10303,"2-Aug-2023 07:03:37",3262742,0,16.6,18.1,6:41am,N/A
2-Aug-2023,"SWG 1",10373,"2-Aug-2023 02:45:00",3266497,0,16.5,17.2,2:40pm,N/A
2-Aug-2023,"GRAVE 1",10715,"2-Aug-2023 11:06:13",3270983,0,16.7,5.76,10:30pm,N/A
3-Aug-2023,"DAY 1",10303,"3-Aug-2023 07:22:01",3276234,0,16.6,19.2,6:20AM,N/A
3-Aug-2023,"SWG 1",10355,"3-Aug-2023 05:18:01",3277963,0,16.5,19.4,2:20pm,N/A
3-Aug-2023,"GRAVE 1",10373,"3-Aug-2023 11:00:52",3282124,0,16.5,18,"10:45 PM",N/A
4-Aug-2023,"DAY 1",10854,"4-Aug-2023 07:59:22",3282738,0,16.6,19.5,6:15AM,N/A
4-Aug-2023,"SWG 1",10355,"4-Aug-2023 04:30:08",3288029,0,16.6,10.1,2:39pm,N/A
4-Aug-2023,"GRAVE 1",10715,"5-Aug-2023 01:26:59",3289790,0,16.5,17.9,10:37pm,N/A
5-Aug-2023,"DAY 1",10373,"5-Aug-2023 07:13:39",3294455,0,16.6,20,6:45am,N/A
5-Aug-2023,"SWG 1",10373,"5-Aug-2023 03:05:00",3298941,0,16.5,14.5,2:39pm,N/A
5-Aug-2023,"GRAVE 1",10715,"5-Aug-2023 11:35:30",3301895,0,16.6,17.8,"10:50 PM",N/A
6-Aug-2023,"DAY 1",7611,"6-Aug-2023 02:12:25",3302029,0,0,0,"6:35 AM","Plant Shutdown"
6-Aug-2023,"SWG 1",7611,"6-Aug-2023 03:13:34",3302029,0,0,0,"2:45 PM","Plant Shutdown"
6-Aug-2023,"GRAVE 1",10303,"7-Aug-2023 01:46:48",3302029,0,0,0,10:39pm,"Pant Shutdown"
7-Aug-2023,"DAY 1",10786,"7-Aug-2023 08:47:32",3304919,0,14.9,19.7,6:41am,N/A
7-Aug-2023,"SWG 1",10373,"7-Aug-2023 03:27:19",3307812,0,16.2,16.6,2:40pm,N/A
7-Aug-2023,"GRAVE 1",10715,"7-Aug-2023 11:54:22",3312196,0,16.4,17.7,"10:55 PM",N/A
8-Aug-2023,"DAY 1",10786,"8-Aug-2023 08:16:03",3314887,0,1603,7.98,6:35am,N/A
8-Aug-2023,"SWG 1",10373,"8-Aug-2023 03:05:14",3318589,0,16.5,17.7,2:39pm,N/A
8-Aug-2023,"GRAVE 1",10715,"8-Aug-2023 11:56:56",3322832,0,16.5,18.4,"10:50 PM",N/A
9-Aug-2023,"DAY 1",10786,"9-Aug-2023 07:24:00",3327089,0,16.5,4.08,6:40am,N/A
9-Aug-2023,"SWG 1",10373,"9-Aug-2023 02:50:05",3329982,0,16.5,18.4,"2:35 PM",N/A
9-Aug-2023,"GRAVE 1",10715,"9-Aug-2023 11:46:34",3332871,0,16.5,4.20,10:36pm,N/A
10-Aug-2023,"DAY 1",10786,"10-Aug-2023 07:35:14",3336807,0,16.6,19.7,6:35am,N/A
10-Aug-2023,"SWG 1",10373,"10-Aug-2023 02:54:09",3341211,0,16.5,17.9,2:40pm,N/A
10-Aug-2023,"GRAVE 1",10355,"11-Aug-2023 01:45:34",3346463,0,16.5,10.3,10:20pm,N/A
11-Aug-2023,"DAY 1",10786,"11-Aug-2023 07:17:14",3350663,0,16.6,18.8,6:35am,N/A
11-Aug-2023,"SWG 1",10303,"11-Aug-2023 04:19:44",3353702,0,16.5,18.4,2:39pm,N/A
11-Aug-2023,"GRAVE 1",10715,"12-Aug-2023 01:30:53",3357667,0,16.6,15.8,"10:40 PM",N/A
12-Aug-2023,"DAY 1",10355,"12-Aug-2023 07:17:08",3361675,0,16.6,3.78,6:32am,N/A
12-Aug-2023,"SWG 1",10355,"12-Aug-2023 04:41:01",3366658,0,16.6,8.3,2:10pm,N/A
12-Aug-2023,"GRAVE 1",10715,"13-Aug-2023 12:41:16",3372453,0,16.5,17.5,10:32pm,N/A
13-Aug-2023,"DAY 1",10786,"13-Aug-2023 07:24:53",3373733,0,0,0,6:35am,Standby
13-Aug-2023,"SWG 1",7611,"13-Aug-2023 02:55:20",3373733,0,0,0,"2:45 PM","Plant Shutdown"
13-Aug-2023,"GRAVE 1",10715,"14-Aug-2023 01:39:17",3373733,0,0,0,10:36pm,"Plant Shutdown"
14-Aug-2023,"DAY 1",10786,"14-Aug-2023 07:54:27",3377920,0,14.3,19.9,6:35am,N/A
14-Aug-2023,"SWG 1",10373,"14-Aug-2023 02:38:57",3381032,0,16.1,17.6,"2:30 PM",N/A
14-Aug-2023,"GRAVE 1",10715,"14-Aug-2023 11:45:11",3385162,0,16.5,17.5,10:10pm,N/A
15-Aug-2023,"DAY 1",10786,"15-Aug-2023 07:33:06",3390249,0,16.5,10.9,6:35am,N/A
15-Aug-2023,"SWG 1",10373,"15-Aug-2023 02:37:51",3393050,0,16.5,16.8,2:39pm,N/A
15-Aug-2023,"GRAVE 1",10715,"15-Aug-2023 11:48:38",3396965,0,16.6,13.1,10:20pm,N/A
